iter	CrossEntropy
0	0.6844671044
1	0.6799090315
2	0.6762160413
3	0.6741576089
4	0.6725825271
5	0.6713485997
6	0.6706054643
7	0.6699668121
8	0.6693566759
9	0.6688427395
10	0.6683278721
11	0.6680068591
12	0.667622097
13	0.667390934
14	0.667120059
15	0.6666765588
16	0.6665337494
17	0.6663435022
18	0.6662627006
19	0.6661712008
20	0.6660510502
21	0.6659661192
22	0.6656502041
23	0.6655147496
24	0.665333484
25	0.6651076159
26	0.6650110739
27	0.6648827186
28	0.6647368688
29	0.6646591509
30	0.664625952
31	0.6646205639
32	0.6645301095
33	0.6644750611
34	0.6643432471
35	0.6641279445
36	0.6640279211
37	0.663910789
38	0.6637549573
39	0.6630853896
40	0.6628013806
41	0.6627054928
42	0.6624747993
43	0.6622973161
44	0.6621839837
45	0.6621494929
46	0.6619804009
47	0.6619108421
48	0.6617857614
49	0.6616843921
50	0.661613584
51	0.6615463819
52	0.6613850029
53	0.6612627873
54	0.6611399385
55	0.6609574494
56	0.6608395142
57	0.660731841
58	0.6606953503
59	0.6605371446
60	0.6603638098
61	0.6600142219
62	0.6599650404
63	0.6598828279
64	0.6598542801
65	0.6596086199
66	0.6594953986
67	0.6594139288
68	0.6592315684
69	0.6591812894
70	0.6591366671
71	0.6590397611
72	0.6584318083
73	0.6583219523
74	0.6581558642
75	0.658100949
76	0.6580414911
77	0.6579316106
78	0.6577745448
79	0.6577303229
80	0.657666054
81	0.6575603726
82	0.657456587
83	0.6573388713
84	0.6571451407
85	0.6570857365
86	0.6569337545
87	0.6568467179
88	0.6566608049
89	0.6565269208
90	0.6563501571
91	0.6563033795
92	0.6561804371
93	0.6560739581
94	0.6559686554
95	0.655858276
96	0.655804049
97	0.6557091926
98	0.6556604931
99	0.6553641357
100	0.6551088733
101	0.6550765834
102	0.6547816782
103	0.6545669435
104	0.6543768574
105	0.6541027292
106	0.6540844141
107	0.6539725745
108	0.6538813708
109	0.6538037846
110	0.6536280943
111	0.6535793094
112	0.6535474988
113	0.6533474714
114	0.6533080682
115	0.6531942096
116	0.6531751219
117	0.6530405518
118	0.6529352699
119	0.6528151735
120	0.6527214613
121	0.6525141495
122	0.6523843617
123	0.6521856388
124	0.6520967431
125	0.6520189878
126	0.6518372812
127	0.6517969144
128	0.6517102942
129	0.6515381955
130	0.65145465
131	0.6512457424
132	0.6511897331
133	0.6510352956
134	0.6509064683
135	0.6508216934
136	0.6507735975
137	0.650729275
138	0.6506274792
139	0.6506027498
140	0.6505578999
141	0.650472336
142	0.6503960068
143	0.6502529996
144	0.6501248713
145	0.6501068949
146	0.6500473938
147	0.6499225443
148	0.6498213961
149	0.6497845995
150	0.6496756168
151	0.6495923719
152	0.6494505211
153	0.6492878127
154	0.6492397851
155	0.6491979378
156	0.6491582908
157	0.6490074967
158	0.6488576483
159	0.6487335446
160	0.6486712024
161	0.648575348
162	0.6484818564
163	0.6484076094
164	0.648115473
165	0.6480200239
166	0.6478509722
167	0.6478311698
168	0.6476692297
169	0.6476333129
170	0.6476063393
171	0.6475281732
172	0.6474726052
173	0.6474286063
174	0.6472655775
175	0.64716205
176	0.647013961
177	0.6469146855
178	0.6468347806
179	0.6467401142
180	0.6466241144
181	0.6464536429
182	0.6463029551
183	0.6462601848
184	0.6460981884
185	0.6460630856
186	0.6459953315
187	0.6458745815
188	0.6457633907
189	0.645659924
190	0.6454153913
191	0.645363436
192	0.6452272155
193	0.6451540686
194	0.6450345818
195	0.6448959072
196	0.6447871234
197	0.6446914733
198	0.6446436733
199	0.644569785
200	0.6445258418
201	0.6444892262
202	0.6443537642
203	0.6442198665
204	0.6441517273
205	0.6440551257
206	0.643908121
207	0.6438279242
208	0.6436689824
209	0.6435572371
210	0.6434982684
211	0.6433462483
212	0.6432258939
213	0.6431602659
214	0.64309097
215	0.6430618443
216	0.6428626507
217	0.6428272364
218	0.642763598
219	0.6427066342
220	0.6425582871
221	0.6424474784
222	0.6423764538
223	0.6423210494
224	0.6422675822
